INSPEED	ENDANGLE	TOTALTICKS	DRIFTTICKS	OUTSPEED	OUTOFFSETX	OUTOFFSETY
0	1.3720499714228769	104	75	559.778076171875	-165.8000030517578	250.7998046875
0	1.53024165233108	112	80	569.7827758789062	-199.72000122070312	266.14990234375
0	1.6859407305677951	119	85	569.3070678710938	-230.20999145507812	275.580078125
0	1.8475839972456516	126	90	563.9985961914062	-260.8899841308594	281.10986328125
0	2.0150754332502903	133	95	554.0338134765625	-290.66998291015625	282.659912109375
0	2.1804578185041965	139	100	533.5128784179688	-314.3800048828125	282.2900390625
0	2.3513049960096897	145	105	508.8562316894531	-336.82000732421875	280.080078125
0	2.5356702685316623	152	110	487.4453125	-360.8899841308594	273.760009765625
0	2.717542874809128	158	115	456.37139892578125	-379.6300048828125	268.75
0	2.9046884655912937	164	120	423.1228332519531	-396.9599914550781	263.280029296875
0	3.0879992127379	169	125	380.5802307128906	-411.989990234375	260.449951171875
0	3.2850198626478733	175	130	344.946044921875	-428.239990234375	253.8798828125
0	3.4864506602247776	181	135	309.6566467285156	-444.0699768066406	246.35986328125
0	3.6906618952711643	187	140	276.1110534667969	-459.44000244140625	237.469970703125
0	3.8965029597242893	193	145	245.27706909179688	-473.989990234375	226.599853515625
0	4.11988888978563	200	150	224.79627990722656	-486.3899841308594	211.5
0	4.329564887281281	205	155	194.80397033691406	-493.7599792480469	202.579833984375
0	4.5429799735506595	208	160	149.020263671875	-498.97998046875	200.64990234375
0	4.225829440351349	210	165	193.6486053466797	-513.2099609375	193.800048828125
0	4.253536987300736	213	170	210.38339233398438	-516.4199829101562	184.169921875
0	4.424767571683747	217	175	202.73074340820312	-513.6499633789062	175.75
0	4.721880486417335	220	180	161.6156463623047	-509.17999267578125	174.489990234375
0	4.99349095224939	221	185	105.87944030761719	-510.55999755859375	177.31005859375
0	5.235092926021439	218	190	8.794612884521484	-518.1199951171875	182.43994140625
0	5.362605082984787	214	195	-69.68232727050781	-524.7000122070312	187.39013671875
0	5.358961868282181	211	200	-116.23735809326172	-529.010009765625	191.570068359375
0	5.262608695026261	208	205	-175.8648681640625	-530.8800048828125	195.929931640625
50	1.3642842014643808	100	70	568.6181640625	-166.17999267578125	260.530029296875
50	1.5231470306727548	108	75	577.4927978515625	-200.25999450683594	276.010009765625
50	1.6797089457472385	115	80	575.8449096679688	-230.75	285.60009765625
50	1.8423108935316623	122	85	569.355224609375	-261.2200012207031	291.099853515625
50	2.003187167640549	128	90	552.0828857421875	-286.05999755859375	293.56982421875
50	2.1695282340010227	134	95	530.3211059570312	-309.7799987792969	293.949951171875
50	2.349291551109177	141	100	511.07708740234375	-336.04998779296875	290.309814453125
50	2.526753890510422	147	105	481.90057373046875	-356.3500061035156	287.019775390625
50	2.7095854163130344	153	110	449.8758239746094	-375.2099914550781	282.789794921875
50	2.8975938439329685	159	115	415.71856689453125	-392.7699890136719	278.039794921875
50	3.090779530998093	165	120	380.3310546875	-409.47998046875	272.749755859375
50	3.2890465140303196	171	125	344.4355773925781	-425.5099792480469	266.85009765625
50	3.491052615638596	177	130	309.33013916015625	-441.3299865722656	259.960205078125
50	3.6963184952696384	183	135	275.9114685058594	-456.7599792480469	251.66015625
50	3.903022396560532	189	140	245.46185302734375	-471.55999755859375	241.1201171875
50	4.113081860538346	195	145	217.3851318359375	-484.7599792480469	228.52001953125
50	4.332249361272675	200	150	187.51077270507812	-490.92999267578125	221.030029296875
50	4.547581914063317	203	155	141.52523803710938	-496.44000244140625	219.81005859375
50	4.175208079810959	205	160	204.1796417236328	-510.5199890136719	211.360107421875
50	4.218351292606217	208	165	216.1051025390625	-513.4500122070312	202.02001953125
50	4.429465401168686	211	170	189.12571716308594	-510.9499816894531	196.249755859375
50	4.729358642544371	214	175	147.9137725830078	-507.1099853515625	195.39990234375
50	5.021773743625504	215	180	90.05707550048828	-508.8799743652344	198.52001953125
50	5.231353867050034	211	185	-17.481719970703125	-517.1499633789062	204.5
50	5.3175443887671054	207	190	-82.59327697753906	-522.9299926757812	209.83984375
50	5.2863854050596775	204	195	-128.57415771484375	-526.7899780273438	214.33984375
50	5.216301667686325	202	200	-191.51950073242188	-528.1699829101562	217.199951171875
100	1.340699120363917	96	65	579.9717407226562	-164.70999145507812	270.43017578125
100	1.492275639376368	103	70	582.187255859375	-194.13999938964844	285.0498046875
100	1.649892318244797	110	75	579.2308959960938	-224.5	295.800048828125
100	1.813069331642014	117	80	571.54736328125	-254.86000061035156	302.510009765625
100	1.9745209097822727	123	85	553.0702514648438	-279.7099914550781	306.0400390625
100	2.1492988944014133	130	90	536.4947509765625	-307.8299865722656	305.929931640625
100	2.3219675898512424	136	95	509.6104736328125	-329.82000732421875	304.97998046875
100	2.4999093890150608	142	100	479.2923583984375	-350.3299865722656	302.639892578125
100	2.683315980430466	148	105	446.24005126953125	-369.3899841308594	299.39990234375
100	2.871803748603684	154	110	411.1399841308594	-387.3199768066406	295.519775390625
100	3.0654688954313816	160	115	374.9207763671875	-404.3800048828125	291.18994140625
100	3.264119374748093	166	120	338.35986328125	-421.0299987792969	286.1201171875
100	3.4665089726408542	172	125	302.7354431152344	-437.44000244140625	279.960205078125
100	3.6713912367781223	178	130	269.2052917480469	-453.6199951171875	272.10009765625
100	3.878286945815903	184	135	238.3535919189453	-469.22998046875	262.080078125
100	4.087867069240433	190	140	211.13824462890625	-482.6299743652344	250.090087890625
100	4.312307614084107	195	145	181.25405883789062	-488.3799743652344	243.52001953125
100	4.528407159443718	198	150	134.34359741210938	-494.3499755859375	243.06005859375
100	4.127079415317398	200	155	209.2853240966797	-508.7599792480469	233.320068359375
100	4.19045202731691	203	160	215.2774658203125	-511.5	224.35009765625
100	4.411153513189179	206	165	186.5161895751953	-508.19000244140625	219.259765625
100	4.71651155380137	209	170	144.6126708984375	-504.6299743652344	218.969970703125
100	5.003845322128159	209	175	76.1019515991211	-507.92999267578125	223.320068359375
100	5.2050844311674656	204	180	-36.025699615478516	-516.239990234375	230.72998046875
100	5.269895124431473	201	185	-89.15752410888672	-521.4599609375	235.320068359375
100	5.2240674376448215	198	190	-135.02511596679688	-524.9099731445312	239.919921875
100	5.146889048810822	196	195	-210.53790283203125	-525.5800170898438	242.820068359375
150	1.2969807823512216	91	60	588.5557861328125	-157.52999877929688	277.7900390625
150	1.4488448341700693	98	65	589.7420043945312	-186.6999969482422	293.909912109375
150	1.606653201576096	105	70	585.7361450195312	-216.87998962402344	306.199951171875
150	1.770309674735886	112	75	576.794921875	-247.25999450683594	314.41015625
150	1.9397187113722385	119	80	563.3228759765625	-276.9100036621094	318.590087890625
150	2.107210147376877	125	85	539.2608032226562	-300.3999938964844	320.56005859375
150	2.280166614051682	131	90	511.1866455078125	-322.6000061035156	320.719970703125
150	2.4583959460218967	137	95	479.6860046386719	-343.28997802734375	319.639892578125
150	2.641898381706101	143	100	445.4442138671875	-362.6999816894531	317.5
150	2.830769765373093	149	105	409.18524169921875	-380.97998046875	314.830078125
150	3.0247224450071872	155	110	371.8888244628906	-398.5099792480469	311.489990234375
150	3.223181235786301	161	115	334.4868469238281	-415.739990234375	307.4599609375
150	3.4258584856947483	167	120	297.98419189453125	-432.80999755859375	302.349853515625
150	3.6302614092787326	173	125	263.8678283691406	-449.8699951171875	295.330078125
150	3.837348806854111	179	130	232.3053436279297	-466.41998291015625	286.090087890625
150	4.047216582294327	185	135	205.3330535888672	-480.239990234375	274.8798828125
150	4.274149852987152	190	140	175.42091369628906	-486.0799865722656	269.0400390625
150	4.0701303958853305	192	145	182.82916259765625	-501.17999267578125	268.329833984375
150	4.042518723007065	195	150	217.8907470703125	-507.29998779296875	258.489990234375
150	4.0972626686056675	198	155	225.27133178710938	-510.739990234375	249.68994140625
150	4.407126802202088	201	160	177.86236572265625	-506.03997802734375	245.47998046875
150	4.713060096961685	204	165	137.59547424316406	-502.7099914550781	245.539794921875
150	4.985245811935288	203	170	60.64255905151367	-507.25	251.150146484375
150	5.162804085012299	198	175	-46.34947204589844	-515.2799682617188	259.0498046875
150	5.202879327531678	195	180	-96.66897583007812	-520.1199951171875	264.159912109375
150	5.1404654860457	192	185	-143.04949951171875	-523.1199951171875	268.869873046875
200	1.2414697845790048	86	55	600.3555297851562	-149.27999877929688	284.3798828125
200	1.400907917818751	94	60	606.2346801757812	-182.89999389648438	304.320068359375
200	1.5587162216517587	101	65	601.3482666015625	-213.11000061035156	317.679931640625
200	1.714990603919846	107	70	585.5601806640625	-238.489990234375	326.419921875
200	1.8844954848249973	114	75	570.8257446289062	-268.239990234375	332.3798828125
200	2.051891076560837	120	80	545.5659790039062	-291.94000244140625	335.699951171875
200	2.224655616279465	126	85	516.2578735351562	-314.2699890136719	337.31982421875
200	2.402789103980881	132	90	483.4563293457031	-335.2799987792969	337.5
200	2.586387383933884	138	95	447.8319091796875	-355.0099792480469	336.730224609375
200	2.7750670790632785	144	100	410.30157470703125	-373.66998291015625	335.2900390625
200	2.968828070159775	150	105	371.7342834472656	-391.67999267578125	333.280029296875
200	3.167286860938889	156	110	333.1332702636719	-409.5099792480469	330.489990234375
200	3.369388806815964	162	115	295.5718688964844	-427.3999938964844	326.610107421875
200	3.5843378186186374	169	120	269.1468200683594	-445.4599914550781	318.280029296875
200	3.791233527656418	175	125	236.95526123046875	-462.8599853515625	310.239990234375
200	4.001292991634232	181	130	209.796142578125	-477.1999816894531	300.320068359375
200	4.2177760481794895	185	135	170.13821411132812	-484.0299987792969	297.0
200	3.995157110687119	187	140	188.20034790039062	-499.47998046875	296.280029296875
200	3.9692711710890354	190	145	220.07421875	-506.4700012207031	286.85009765625
200	4.0623646259268344	193	150	218.22906494140625	-509.5199890136719	278.41015625
200	4.350848871465546	197	155	186.6917724609375	-503.92999267578125	272.320068359375
200	4.661192371692282	199	160	134.54693603515625	-501.739990234375	274.31005859375
200	4.940281006689888	198	165	55.95589828491211	-506.3199768066406	280.469970703125
200	5.099623250957352	192	170	-56.70125198364258	-514.2999877929688	290.300048828125
200	5.115730065103394	189	175	-105.1702880859375	-518.9099731445312	295.9599609375
200	5.035579550262314	186	180	-158.96511840820312	-521.3099975585938	300.85986328125
250	1.1750292023036142	81	50	615.531494140625	-140.0800018310547	289.81005859375
250	1.3339881141993661	89	55	620.6611938476562	-173.22000122070312	312.18017578125
250	1.4912211140010019	96	60	615.0277099609375	-203.3300018310547	327.56005859375
250	1.6471118807753147	102	65	598.4298706054688	-228.69000244140625	338.0
250	1.8161373019178928	109	70	582.606689453125	-258.6199951171875	345.93994140625
250	1.983341205116135	115	75	556.1741333007812	-282.54998779296875	350.800048828125
250	2.1635839819868625	122	80	532.1923828125	-309.5	352.409912109375
